DATE,HOLI
20160608,0
20160609,2
20160610,2
20160611,2
20160612,0
20160613,0
20160614,0
20160615,0
20160616,0
20160617,0
20160618,1
20160619,1
20160620,0
20160621,0
20160622,0
20160623,0
20160624,0
20160625,1
20160626,1
20160627,0
20160628,0
20160629,0
20160630,0
20160701,0
20160702,1
20160703,1
20160704,0
20160705,0
20160706,0
20160707,0
20160708,0
20160709,1
20160710,1
20160711,0
20160712,0
20160713,0
20160714,0
20160715,0
20160716,1
20160717,1
20160718,0
20160719,0
20160720,0
20160721,0
20160722,0
20160723,1
20160724,1
20160725,0
20160726,0
20160727,0
20160728,0
20160729,0
20160730,1
20160731,1
20160801,0
20160802,0
20160803,0
20160804,0
20160805,0
20160806,1
20160807,1
20160808,0
20160809,0
20160810,0
20160811,0
20160812,0
20160813,1
20160814,1
20160815,0
20160816,0
20160817,0
20160818,0
20160819,0
20160820,1
20160821,1
20160822,0
20160823,0
20160824,0
20160825,0
20160826,0
20160827,1
20160828,1
20160829,0
20160830,0
20160831,0
20160901,0
20160902,0
20160903,1
20160904,1
20160905,0
20160906,0
20160907,0
20160908,0
20160909,0
20160910,1
20160911,1
20160912,0
20160913,0
20160914,0
20160915,2
20160916,2
20160917,2
20160918,0
20160919,0
20160920,0
20160921,0
20160922,0
20160923,0
20160924,1
20160925,1
20160926,0
20160927,0
20160928,0
20160929,0
20160930,0
20161001,2
20161002,2
20161003,2
20161004,2
20161005,2
20161006,2
20161007,2
20161008,0
20161009,0
20161010,0
20161011,0
20161012,0
20161013,0
20161014,0
20161015,1
20161016,1
20161017,0
20161018,0
20161019,0
20161020,0
20161021,0
20161022,1
20161023,1
20161024,0
20161025,0
20161026,0
20161027,0
20161028,0
20161029,1
20161030,1
20161031,0
20161101,0
20161102,0
20161103,0
20161104,0
20161105,1
20161106,1
20161107,0
20161108,0
20161109,0
20161110,0
20161111,0
20161112,1
20161113,1
20161114,0
20161115,0
20161116,0
